split,game,side,team,fb,fbtime,fd,fdtime,ft,fttime,cspm,goldat10,goldat15,result
summer,2,Blue,MVP,1,2.9871,1,14.37893333,0,12.68703333,35.81239531,16.42,25.696,1
summer,2,Red,BBQ Olivers,0,2.9871,0,14.37893333,1,12.68703333,30.95477387,15.419,24.008,0
summer,1,Blue,KT Rolster,1,0.976666667,1,14.44088333,1,10.75886667,35.6231003,15.832,24.788,1
summer,1,Red,ROX Tigers,0,0.976666667,0,14.44088333,0,10.75886667,32.82674772,14.741,22.946,0
summer,2,Blue,ROX Tigers,0,4.50555,0,11.7993,1,16.4531,34.87684729,14.571,23.426,1
summer,2,Red,KT Rolster,1,4.50555,1,11.7993,0,16.4531,32.5862069,16.063,23.87,0
summer,3,Blue,KT Rolster,1,10.57823333,1,13.1344,1,12.00246667,33.66371681,15.328,25.663,0
summer,3,Red,ROX Tigers,0,10.57823333,0,13.1344,0,12.00246667,31.11504425,13.895,21.348,1
summer,1,Blue,Afreeca Freecs,0,3.642733333,1,10.5441,0,15.56733333,32.81927711,15.358,22.918,1
summer,1,Red,Longzhu Gaming,1,3.642733333,0,10.5441,1,15.56733333,31.22891566,15.363,23.528,0
summer,2,Blue,Longzhu Gaming,1,2.858933333,1,10.79775,1,14.17016667,31.8452381,16.072,24.74,1
summer,2,Red,Afreeca Freecs,0,2.858933333,0,10.79775,0,14.17016667,33.51190476,14.385,21.724,0
summer,3,Blue,Afreeca Freecs,1,0.647783333,0,9.878316667,0,16.82051667,29.71078002,15.385,22.28,0
summer,3,Red,Longzhu Gaming,0,0.647783333,1,9.878316667,1,16.82051667,35.20595968,15.113,23.559,1
summer,1,Blue,Jin Air Green Wings,1,7.597583333,1,8.429966667,1,14.60193333,36.44395362,15.42,25.454,1
summer,1,Red,Samsung Galaxy,0,7.597583333,0,8.429966667,0,14.60193333,36.84152402,15.219,23.091,0
summer,2,Blue,Samsung Galaxy,1,5.550766667,0,9.627216667,0,9.1718,30.70241692,15.642,23.621,0
summer,2,Red,Jin Air Green Wings,0,5.550766667,1,9.627216667,1,9.1718,30.70241692,15.735,25.246,1
summer,1,Blue,BBQ Olivers,1,8.2282,1,16.05586667,1,10.54095,31.12391931,15.584,25.23,1
summer,1,Red,Ever8 Winners,0,8.2282,0,16.05586667,0,10.54095,31.5389049,14.222,22.294,0
summer,2,Blue,Ever8 Winners,1,4.240416667,0,17.59483333,1,10.99185,29.53068592,14.34,23.427,1
summer,2,Red,BBQ Olivers,0,4.240416667,1,17.59483333,0,10.99185,32.82791817,14.816,23.105,0
summer,3,Blue,BBQ Olivers,0,3.040833333,1,10.93936667,1,9.476433333,36.04880883,16.194,24.541,1
summer,3,Red,Ever8 Winners,1,3.040833333,0,10.93936667,0,9.476433333,32.73678094,14.135,22.14,0
summer,1,Blue,SK Telecom T1,1,8.029783333,1,8.996716667,1,11.16465,36.18828932,15.167,25.045,1
summer,1,Red,MVP,0,8.029783333,0,8.996716667,0,11.16465,33.82319173,14.014,22.439,0
summer,2,Blue,MVP,0,5.29515,1,7.364033333,0,7.262266667,30.82262211,14.118,23.648,0
